,Company,Role,Location,Date
0,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
1,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
2,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
3,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
4,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
5,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
6,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",3 months ago
7,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
8,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
9,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",6 months ago
10,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",2 months ago
11,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
12,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",4 days ago
13,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
14,Cyware,Data Engineer,"Bengaluru, Karnataka, India",2 weeks ago
15,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
16,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
17,Busigence,Aspirant - Data Science & AI,"Bengaluru North, Karnataka, India",6 months ago
18,Puffy,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),"Bengaluru, Karnataka, India",1 month ago
19,Global Talent Exchange,SQL Developer - Return to India,"Bengaluru, Karnataka, India",5 months ago
20,Fi,Data Operations,"Bengaluru, Karnataka, India",2 weeks ago
21,Computer Ease Limited,Senior Data Analyst,"Bengaluru, Karnataka, India",1 week ago
